date,month,1#铜,A00铝,1#白银,铝合金ADC12,铸造铝合金锭(ZLD104)
2025-07-22,2025-07,70537.249,18332.185,7420.901,17960.031,18489.566
2025-07-23,2025-07,70569.995,18342.712,7425.27,17959.928,18489.566
2025-07-24,2025-07,70602.756,18353.245,7429.641,17959.838,18489.566
2025-07-25,2025-07,70635.532,18363.784,7434.015,17959.759,18489.566
2025-07-28,2025-07,70668.323,18374.33,7438.391,17959.689,18489.566
2025-07-29,2025-07,70701.13,18384.881,7442.769,17959.628,18489.566
2025-07-30,2025-07,70733.951,18395.438,7447.151,17959.574,18489.566
2025-07-31,2025-07,70766.788,18406.001,7451.535,17959.526,18489.566
2025-08-01,2025-08,70799.64,18416.571,7455.921,17959.484,18489.566
2025-08-04,2025-08,70832.508,18427.146,7460.31,17959.447,18489.566
2025-08-05,2025-08,70865.391,18437.728,7464.702,17959.414,18489.566
2025-08-06,2025-08,70898.289,18448.316,7469.096,17959.386,18489.566
2025-08-07,2025-08,70931.202,18458.909,7473.493,17959.36,18489.566
2025-08-08,2025-08,70964.13,18469.509,7477.893,17959.338,18489.566
2025-08-11,2025-08,70997.074,18480.115,7482.295,17959.318,18489.566
2025-08-12,2025-08,71030.033,18490.727,7486.699,17959.301,18489.566
2025-08-13,2025-08,71063.008,18501.345,7491.106,17959.286,18489.566
2025-08-14,2025-08,71095.997,18511.969,7495.516,17959.272,18489.566
2025-08-15,2025-08,71129.002,18522.6,7499.929,17959.261,18489.566
2025-08-18,2025-08,71162.023,18533.236,7504.344,17959.25,18489.566
2025-08-19,2025-08,71195.058,18543.878,7508.761,17959.241,18489.566
2025-08-20,2025-08,71228.109,18554.527,7513.181,17959.233,18489.566
2025-08-21,2025-08,71261.176,18565.182,7517.604,17959.226,18489.566
2025-08-22,2025-08,71294.257,18575.843,7522.03,17959.219,18489.566
2025-08-25,2025-08,71327.355,18586.51,7526.458,17959.214,18489.566
2025-08-26,2025-08,71360.467,18597.183,7530.888,17959.209,18489.566
2025-08-27,2025-08,71393.595,18607.862,7535.321,17959.205,18489.566
2025-08-28,2025-08,71426.738,18618.547,7539.757,17959.201,18489.566
2025-08-29,2025-08,71459.897,18629.239,7544.196,17959.198,18489.566
2025-09-01,2025-09,71493.07,18639.936,7548.637,17959.195,18489.566
2025-09-02,2025-09,71526.26,18650.64,7553.08,17959.192,18489.566
2025-09-03,2025-09,71559.465,18661.35,7557.527,17959.19,18489.566
2025-09-04,2025-09,71592.685,18672.066,7561.976,17959.188,18489.566
2025-09-05,2025-09,71625.92,18682.788,7566.427,17959.186,18489.566
2025-09-08,2025-09,71659.171,18693.517,7570.881,17959.185,18489.566
2025-09-09,2025-09,71692.438,18704.251,7575.338,17959.183,18489.566
2025-09-10,2025-09,71725.72,18714.992,7579.797,17959.182,18489.566
2025-09-11,2025-09,71759.017,18725.739,7584.259,17959.181,18489.566
2025-09-12,2025-09,71792.33,18736.492,7588.724,17959.18,18489.566
2025-09-15,2025-09,71825.658,18747.251,7593.191,17959.179,18489.566
2025-09-16,2025-09,71859.002,18758.016,7597.661,17959.178,18489.566
2025-09-17,2025-09,71892.361,18768.788,7602.134,17959.178,18489.566
2025-09-18,2025-09,71925.736,18779.566,7606.609,17959.177,18489.566
2025-09-19,2025-09,71959.126,18790.35,7611.087,17959.177,18489.566
2025-09-22,2025-09,71992.532,18801.14,7615.567,17959.176,18489.566
2025-09-23,2025-09,72025.953,18811.936,7620.05,17959.176,18489.566
2025-09-24,2025-09,72059.39,18822.739,7624.536,17959.176,18489.566
2025-09-25,2025-09,72092.842,18833.547,7629.024,17959.175,18489.566
2025-09-26,2025-09,72126.31,18844.362,7633.515,17959.175,18489.566
2025-09-29,2025-09,72159.793,18855.184,7638.009,17959.175,18489.566
2025-09-30,2025-09,72193.292,18866.011,7642.505,17959.175,18489.566
2025-10-01,2025-10,72226.807,18876.845,7647.004,17959.174,18489.566
2025-10-02,2025-10,72260.337,18887.684,7651.506,17959.174,18489.566
2025-10-03,2025-10,72293.882,18898.53,7656.01,17959.174,18489.566
2025-10-06,2025-10,72327.443,18909.383,7660.517,17959.174,18489.566
2025-10-07,2025-10,72361.02,18920.241,7665.026,17959.174,18489.566
2025-10-08,2025-10,72394.612,18931.106,7669.538,17959.174,18489.566
2025-10-09,2025-10,72428.22,18941.977,7674.053,17959.174,18489.566
2025-10-10,2025-10,72461.844,18952.854,7678.571,17959.174,18489.566
2025-10-13,2025-10,72495.483,18963.737,7683.091,17959.174,18489.566
2025-10-14,2025-10,72529.137,18974.627,7687.614,17959.174,18489.566
2025-10-15,2025-10,72562.808,18985.523,7692.139,17959.173,18489.566
2025-10-16,2025-10,72596.494,18996.425,7696.667,17959.173,18489.566
2025-10-17,2025-10,72630.195,19007.334,7701.198,17959.173,18489.566
2025-10-20,2025-10,72663.913,19018.249,7705.732,17959.173,18489.566
2025-10-21,2025-10,72697.645,19029.17,7710.268,17959.173,18489.566
2025-10-22,2025-10,72731.394,19040.097,7714.807,17959.173,18489.566
2025-10-23,2025-10,72765.158,19051.03,7719.348,17959.173,18489.566
2025-10-24,2025-10,72798.938,19061.97,7723.892,17959.173,18489.566
2025-10-27,2025-10,72832.734,19072.916,7728.439,17959.173,18489.566
2025-10-28,2025-10,72866.545,19083.869,7732.989,17959.173,18489.566
2025-10-29,2025-10,72900.372,19094.827,7737.541,17959.173,18489.566
2025-10-30,2025-10,72934.215,19105.792,7742.096,17959.173,18489.566
2025-10-31,2025-10,72968.073,19116.764,7746.653,17959.173,18489.566
2025-11-03,2025-11,73001.947,19127.741,7751.214,17959.173,18489.566
2025-11-04,2025-11,73035.837,19138.725,7755.776,17959.173,18489.566
2025-11-05,2025-11,73069.743,19149.715,7760.342,17959.173,18489.566
2025-11-06,2025-11,73103.664,19160.712,7764.91,17959.173,18489.566
2025-11-07,2025-11,73137.601,19171.715,7769.481,17959.173,18489.566
2025-11-10,2025-11,73171.554,19182.724,7774.055,17959.173,18489.566
2025-11-11,2025-11,73205.522,19193.739,7778.631,17959.173,18489.566
2025-11-12,2025-11,73239.507,19204.761,7783.21,17959.173,18489.566
2025-11-13,2025-11,73273.507,19215.789,7787.792,17959.173,18489.566
2025-11-14,2025-11,73307.523,19226.824,7792.377,17959.173,18489.566
2025-11-17,2025-11,73341.554,19237.864,7796.964,17959.173,18489.566
2025-11-18,2025-11,73375.602,19248.911,7801.554,17959.173,18489.566
2025-11-19,2025-11,73409.665,19259.965,7806.146,17959.173,18489.566
2025-11-20,2025-11,73443.744,19271.025,7810.741,17959.173,18489.566
2025-11-21,2025-11,73477.839,19282.091,7815.339,17959.173,18489.566
2025-11-24,2025-11,73511.95,19293.163,7819.94,17959.173,18489.566
2025-11-25,2025-11,73546.076,19304.242,7824.543,17959.173,18489.566
2025-11-26,2025-11,73580.219,19315.328,7829.15,17959.173,18489.566
2025-11-27,2025-11,73614.377,19326.419,7833.758,17959.173,18489.566
2025-11-28,2025-11,73648.551,19337.517,7838.37,17959.173,18489.566
2025-12-01,2025-12,73682.741,19348.621,7842.984,17959.173,18489.566
2025-12-02,2025-12,73716.947,19359.732,7847.601,17959.173,18489.566
2025-12-03,2025-12,73751.169,19370.849,7852.221,17959.173,18489.566
2025-12-04,2025-12,73785.407,19381.973,7856.843,17959.173,18489.566
2025-12-05,2025-12,73819.66,19393.103,7861.468,17959.173,18489.566
2025-12-08,2025-12,73853.93,19404.239,7866.096,17959.173,18489.566
2025-12-09,2025-12,73888.215,19415.382,7870.726,17959.173,18489.566
2025-12-10,2025-12,73922.516,19426.531,7875.36,17959.173,18489.566
2025-12-11,2025-12,73956.833,19437.686,7879.996,17959.173,18489.566
2025-12-12,2025-12,73991.166,19448.848,7884.635,17959.173,18489.566
2025-12-15,2025-12,74025.516,19460.016,7889.276,17959.173,18489.566
2025-12-16,2025-12,74059.881,19471.191,7893.92,17959.173,18489.566
2025-12-17,2025-12,74094.261,19482.372,7898.567,17959.173,18489.566
2025-12-18,2025-12,74128.658,19493.559,7903.217,17959.173,18489.566
2025-12-19,2025-12,74163.071,19504.753,7907.869,17959.173,18489.566
2025-12-22,2025-12,74197.5,19515.954,7912.524,17959.173,18489.566
2025-12-23,2025-12,74231.945,19527.161,7917.182,17959.173,18489.566
2025-12-24,2025-12,74266.406,19538.374,7921.843,17959.173,18489.566
2025-12-25,2025-12,74300.883,19549.594,7926.506,17959.173,18489.566
2025-12-26,2025-12,74335.375,19560.82,7931.172,17959.173,18489.566
2025-12-29,2025-12,74369.884,19572.052,7935.841,17959.173,18489.566
2025-12-30,2025-12,74404.409,19583.291,7940.513,17959.173,18489.566
2025-12-31,2025-12,74438.95,19594.537,7945.187,17959.173,18489.566
2026-01-01,2026-01,74473.507,19605.789,7949.864,17959.173,18489.566
2026-01-02,2026-01,74508.08,19617.047,7954.544,17959.173,18489.566
2026-01-05,2026-01,74542.669,19628.312,7959.227,17959.173,18489.566
2026-01-06,2026-01,74577.274,19639.583,7963.912,17959.173,18489.566
2026-01-07,2026-01,74611.895,19650.861,7968.6,17959.173,18489.566
2026-01-08,2026-01,74646.532,19662.145,7973.291,17959.173,18489.566
2026-01-09,2026-01,74681.186,19673.436,7977.985,17959.173,18489.566
2026-01-12,2026-01,74715.855,19684.733,7982.681,17959.173,18489.566
2026-01-13,2026-01,74750.541,19696.037,7987.38,17959.173,18489.566
2026-01-14,2026-01,74785.242,19707.347,7992.082,17959.173,18489.566
2026-01-15,2026-01,74819.96,19718.664,7996.787,17959.173,18489.566
2026-01-16,2026-01,74854.694,19729.987,8001.494,17959.173,18489.566
2026-01-19,2026-01,74889.444,19741.317,8006.205,17959.173,18489.566
2026-01-20,2026-01,74924.21,19752.653,8010.918,17959.173,18489.566
2026-01-21,2026-01,74958.992,19763.996,8015.633,17959.173,18489.566
2026-01-22,2026-01,74993.79,19775.345,8020.352,17959.173,18489.566
2026-01-23,2026-01,75028.605,19786.701,8025.073,17959.173,18489.566
2026-01-26,2026-01,75063.435,19798.063,8029.798,17959.173,18489.566
2026-01-27,2026-01,75098.282,19809.432,8034.524,17959.173,18489.566
2026-01-28,2026-01,75133.145,19820.807,8039.254,17959.173,18489.566
2026-01-29,2026-01,75168.024,19832.189,8043.987,17959.173,18489.566
2026-01-30,2026-01,75202.92,19843.578,8048.722,17959.173,18489.566
2026-02-02,2026-02,75237.831,19854.972,8053.46,17959.173,18489.566
2026-02-03,2026-02,75272.759,19866.374,8058.201,17959.173,18489.566
2026-02-04,2026-02,75307.703,19877.782,8062.944,17959.173,18489.566
2026-02-05,2026-02,75342.664,19889.197,8067.691,17959.173,18489.566
2026-02-06,2026-02,75377.64,19900.618,8072.44,17959.173,18489.566
2026-02-09,2026-02,75412.633,19912.045,8077.192,17959.173,18489.566
2026-02-10,2026-02,75447.642,19923.48,8081.947,17959.173,18489.566
2026-02-11,2026-02,75482.667,19934.921,8086.705,17959.173,18489.566
2026-02-12,2026-02,75517.708,19946.368,8091.465,17959.173,18489.566
2026-02-13,2026-02,75552.766,19957.822,8096.228,17959.173,18489.566
2026-02-16,2026-02,75587.84,19969.282,8100.994,17959.173,18489.566
2026-02-17,2026-02,75622.93,19980.75,8105.763,17959.173,18489.566
2026-02-18,2026-02,75658.037,19992.223,8110.535,17959.173,18489.566
2026-02-19,2026-02,75693.16,20003.704,8115.309,17959.173,18489.566
2026-02-20,2026-02,75728.299,20015.19,8120.086,17959.173,18489.566
2026-02-23,2026-02,75763.454,20026.684,8124.866,17959.173,18489.566
2026-02-24,2026-02,75798.626,20038.184,8129.649,17959.173,18489.566
2026-02-25,2026-02,75833.814,20049.691,8134.435,17959.173,18489.566
2026-02-26,2026-02,75869.019,20061.204,8139.223,17959.173,18489.566
2026-02-27,2026-02,75904.24,20072.724,8144.015,17959.173,18489.566
2026-03-02,2026-03,75939.477,20084.25,8148.809,17959.173,18489.566
2026-03-03,2026-03,75974.73,20095.784,8153.606,17959.173,18489.566
2026-03-04,2026-03,76010.0,20107.323,8158.406,17959.173,18489.566
2026-03-05,2026-03,76045.286,20118.87,8163.208,17959.173,18489.566
2026-03-06,2026-03,76080.589,20130.423,8168.014,17959.173,18489.566
2026-03-09,2026-03,76115.908,20141.982,8172.822,17959.173,18489.566
2026-03-10,2026-03,76151.244,20153.549,8177.633,17959.173,18489.566
2026-03-11,2026-03,76186.595,20165.122,8182.447,17959.173,18489.566
2026-03-12,2026-03,76221.964,20176.701,8187.264,17959.173,18489.566
2026-03-13,2026-03,76257.348,20188.288,8192.083,17959.173,18489.566
2026-03-16,2026-03,76292.749,20199.88,8196.906,17959.173,18489.566
2026-03-17,2026-03,76328.167,20211.48,8201.731,17959.173,18489.566
2026-03-18,2026-03,76363.601,20223.086,8206.559,17959.173,18489.566
2026-03-19,2026-03,76399.051,20234.699,8211.39,17959.173,18489.566
2026-03-20,2026-03,76434.518,20246.319,8216.224,17959.173,18489.566
2026-03-23,2026-03,76470.002,20257.945,8221.061,17959.173,18489.566
2026-03-24,2026-03,76505.501,20269.578,8225.9,17959.173,18489.566
2026-03-25,2026-03,76541.018,20281.217,8230.743,17959.173,18489.566
2026-03-26,2026-03,76576.55,20292.863,8235.588,17959.173,18489.566
2026-03-27,2026-03,76612.1,20304.516,8240.436,17959.173,18489.566
2026-03-30,2026-03,76647.665,20316.176,8245.287,17959.173,18489.566
2026-03-31,2026-03,76683.248,20327.842,8250.141,17959.173,18489.566
2026-04-01,2026-04,76718.847,20339.515,8254.997,17959.173,18489.566
2026-04-02,2026-04,76754.462,20351.195,8259.857,17959.173,18489.566
2026-04-03,2026-04,76790.094,20362.882,8264.719,17959.173,18489.566
2026-04-06,2026-04,76825.742,20374.575,8269.584,17959.173,18489.566
2026-04-07,2026-04,76861.407,20386.275,8274.452,17959.173,18489.566
2026-04-08,2026-04,76897.089,20397.981,8279.323,17959.173,18489.566
2026-04-09,2026-04,76932.787,20409.694,8284.197,17959.173,18489.566
2026-04-10,2026-04,76968.501,20421.414,8289.074,17959.173,18489.566
2026-04-13,2026-04,77004.233,20433.141,8293.953,17959.173,18489.566
2026-04-14,2026-04,77039.98,20444.875,8298.836,17959.173,18489.566
2026-04-15,2026-04,77075.745,20456.615,8303.721,17959.173,18489.566
2026-04-16,2026-04,77111.526,20468.362,8308.609,17959.173,18489.566
2026-04-17,2026-04,77147.323,20480.116,8313.5,17959.173,18489.566
2026-04-20,2026-04,77183.138,20491.876,8318.394,17959.173,18489.566
2026-04-21,2026-04,77218.969,20503.643,8323.291,17959.173,18489.566
2026-04-22,2026-04,77254.816,20515.417,8328.191,17959.173,18489.566
2026-04-23,2026-04,77290.68,20527.198,8333.093,17959.173,18489.566
2026-04-24,2026-04,77326.561,20538.986,8337.999,17959.173,18489.566
2026-04-27,2026-04,77362.458,20550.78,8342.907,17959.173,18489.566
2026-04-28,2026-04,77398.373,20562.581,8347.818,17959.173,18489.566
2026-04-29,2026-04,77434.303,20574.389,8352.732,17959.173,18489.566
2026-04-30,2026-04,77470.251,20586.203,8357.649,17959.173,18489.566
2026-05-01,2026-05,77506.215,20598.025,8362.569,17959.173,18489.566
2026-05-04,2026-05,77542.196,20609.853,8367.492,17959.173,18489.566
2026-05-05,2026-05,77578.193,20621.688,8372.418,17959.173,18489.566
2026-05-06,2026-05,77614.208,20633.53,8377.346,17959.173,18489.566
2026-05-07,2026-05,77650.239,20645.378,8382.278,17959.173,18489.566
2026-05-08,2026-05,77686.286,20657.234,8387.212,17959.173,18489.566
2026-05-11,2026-05,77722.351,20669.096,8392.15,17959.173,18489.566
2026-05-12,2026-05,77758.432,20680.965,8397.09,17959.173,18489.566
2026-05-13,2026-05,77794.53,20692.84,8402.033,17959.173,18489.566
2026-05-14,2026-05,77830.645,20704.723,8406.979,17959.173,18489.566
2026-05-15,2026-05,77866.776,20716.613,8411.928,17959.173,18489.566
2026-05-18,2026-05,77902.924,20728.509,8416.88,17959.173,18489.566
2026-05-19,2026-05,77939.089,20740.412,8421.835,17959.173,18489.566
2026-05-20,2026-05,77975.271,20752.322,8426.792,17959.173,18489.566
2026-05-21,2026-05,78011.47,20764.239,8431.753,17959.173,18489.566
2026-05-22,2026-05,78047.685,20776.162,8436.716,17959.173,18489.566
2026-05-25,2026-05,78083.917,20788.093,8441.683,17959.173,18489.566
2026-05-26,2026-05,78120.166,20800.03,8446.652,17959.173,18489.566
2026-05-27,2026-05,78156.432,20811.974,8451.625,17959.173,18489.566
2026-05-28,2026-05,78192.715,20823.925,8456.6,17959.173,18489.566
2026-05-29,2026-05,78229.015,20835.883,8461.578,17959.173,18489.566
