date,month,1#铜,A00铝,1#白银,铝合金ADC12,铸造铝合金锭(ZLD104),1#铜_source,A00铝_source,1#白银_source,铝合金ADC12_source,铸造铝合金锭(ZLD104)_source
2026-09-14,2026-09,92545.078,17741.848,11280.038,21082.877,20527.742,forecast,forecast,forecast,forecast,forecast
2026-09-15,2026-09,92565.653,17695.649,11239.949,21082.878,20527.743,forecast,forecast,forecast,forecast,forecast
2026-09-16,2026-09,92586.233,17649.569,11200.002,21082.879,20527.743,forecast,forecast,forecast,forecast,forecast
2026-09-17,2026-09,92606.817,17603.61,11160.198,21082.88,20527.743,forecast,forecast,forecast,forecast,forecast
2026-09-18,2026-09,92627.406,17557.77,11120.535,21082.881,20527.743,forecast,forecast,forecast,forecast,forecast
2026-09-21,2026-09,92648.0,17512.05,11081.013,21082.881,20527.743,forecast,forecast,forecast,forecast,forecast
2026-09-22,2026-09,92668.598,17466.448,11041.631,21082.882,20527.743,forecast,forecast,forecast,forecast,forecast
2026-09-23,2026-09,92689.201,17420.966,11002.39,21082.882,20527.743,forecast,forecast,forecast,forecast,forecast
2026-09-24,2026-09,92709.808,17375.602,10963.287,21082.883,20527.743,forecast,forecast,forecast,forecast,forecast
2026-09-25,2026-09,92730.42,17330.356,10924.324,21082.883,20527.743,forecast,forecast,forecast,forecast,forecast
2026-09-28,2026-09,92751.036,17285.228,10885.5,21082.883,20527.743,forecast,forecast,forecast,forecast,forecast
2026-09-29,2026-09,92771.657,17240.217,10846.813,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-09-30,2026-09,92792.283,17195.323,10808.264,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-01,2026-10,92812.913,17150.547,10769.851,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-02,2026-10,92833.548,17105.887,10731.576,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-05,2026-10,92854.187,17061.343,10693.436,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-06,2026-10,92874.831,17016.916,10655.432,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-07,2026-10,92895.48,16972.604,10617.563,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-08,2026-10,92916.133,16928.407,10579.828,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-09,2026-10,92936.791,16884.326,10542.228,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-12,2026-10,92957.453,16840.359,10504.761,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-13,2026-10,92978.12,16796.507,10467.428,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-14,2026-10,92998.792,16752.769,10430.227,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-15,2026-10,93019.468,16709.145,10393.158,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-16,2026-10,93040.149,16665.634,10356.221,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-19,2026-10,93060.834,16622.237,10319.415,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-20,2026-10,93081.524,16578.953,10282.74,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-21,2026-10,93102.219,16535.781,10246.196,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-22,2026-10,93122.918,16492.722,10209.781,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-23,2026-10,93143.621,16449.775,10173.496,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-26,2026-10,93164.33,16406.94,10137.34,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-27,2026-10,93185.043,16364.216,10101.312,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-28,2026-10,93205.76,16321.604,10065.412,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-29,2026-10,93226.482,16279.102,10029.64,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-10-30,2026-10,93247.209,16236.712,9993.995,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-02,2026-11,93267.941,16194.431,9958.477,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-03,2026-11,93288.677,16152.261,9923.085,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-04,2026-11,93309.417,16110.201,9887.818,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-05,2026-11,93330.162,16068.25,9852.677,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-06,2026-11,93350.912,16026.408,9817.661,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-09,2026-11,93371.667,15984.676,9782.769,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-10,2026-11,93392.426,15943.052,9748.002,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-11,2026-11,93413.189,15901.536,9713.358,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-12,2026-11,93433.958,15860.128,9678.837,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-13,2026-11,93454.73,15818.829,9644.438,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-16,2026-11,93475.508,15777.636,9610.162,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-17,2026-11,93496.29,15736.552,9576.008,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-18,2026-11,93517.077,15695.574,9541.975,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-19,2026-11,93537.868,15654.702,9508.063,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-20,2026-11,93558.664,15613.938,9474.272,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-23,2026-11,93579.465,15573.279,9440.601,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-24,2026-11,93600.27,15532.726,9407.049,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-25,2026-11,93621.08,15492.279,9373.617,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-26,2026-11,93641.895,15451.937,9340.303,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-27,2026-11,93662.714,15411.701,9307.108,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-11-30,2026-11,93683.537,15371.569,9274.031,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-01,2026-12,93704.366,15331.541,9241.071,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-02,2026-12,93725.199,15291.618,9208.229,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-03,2026-12,93746.036,15251.798,9175.503,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-04,2026-12,93766.879,15212.083,9142.894,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-07,2026-12,93787.726,15172.471,9110.4,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-08,2026-12,93808.577,15132.962,9078.022,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-09,2026-12,93829.433,15093.555,9045.759,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-10,2026-12,93850.294,15054.252,9013.611,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-11,2026-12,93871.16,15015.051,8981.577,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-14,2026-12,93892.03,14975.952,8949.656,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-15,2026-12,93912.904,14936.954,8917.85,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-16,2026-12,93933.784,14898.059,8886.156,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-17,2026-12,93954.668,14859.264,8854.575,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-18,2026-12,93975.557,14820.571,8823.106,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-21,2026-12,93996.45,14781.978,8791.749,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-22,2026-12,94017.348,14743.486,8760.503,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-23,2026-12,94038.25,14705.094,8729.369,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-24,2026-12,94059.158,14666.802,8698.345,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-25,2026-12,94080.07,14628.609,8667.431,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-28,2026-12,94100.986,14590.517,8636.627,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-29,2026-12,94121.907,14552.523,8605.933,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-30,2026-12,94142.833,14514.628,8575.348,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
2026-12-31,2026-12,94163.764,14476.832,8544.871,21082.884,20527.743,forecast,forecast,forecast,forecast,forecast
